brand,topupdate,activationdate,iccidPREFIX,iccid,resellerid,offmgrid,bundlecode,TopupSeq, Spiff 
LMPLUS,2016-02-24,2016-02-24,8919601,000142688940,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,2nd_renewal, $20.00 
LMPLUS,2016-02-03,2016-02-03,8919601,000142688254,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,2nd_renewal, $10.00 
LMPLUS,2016-01-29,2016-01-29,8919601,000142085378,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-26,2016-01-26,8919601,000142085345,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000142085287,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-27,2016-01-27,8919601,000142085212,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-17,2016-02-17,8919601,000142084892,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-29,2016-01-29,8919601,000142084116,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-19,2016-02-19,8919601,000142083662,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-13,2016-02-13,8919601,000142083415,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-28,2016-01-28,8919601,000142083209,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-12,2016-02-12,8919601,000142083076,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-11,2016-02-11,8919601,000142082649,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-26,2016-01-26,8919601,000142082490,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-21,2016-02-21,8919601,000142082276,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-10,2016-02-10,8919601,000137792426,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,2nd_renewal, $20.00 
LMPLUS,2016-02-09,2016-02-09,8919601,000137792376,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,2nd_renewal, $20.00 
LMPLUS,2016-02-09,2016-02-09,8919601,000137792350,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,2nd_renewal, $20.00 
LMPLUS,2016-02-05,2016-02-05,8919601,000131695039,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,2nd_renewal, $10.00 
LMPLUS,2016-01-29,2016-01-29,8919601,000122357425,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-16,2016-02-16,8919601,000122330661,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,2nd_renewal, $20.00 
LMPLUS,2016-02-22,2016-02-22,8919601,000142688312,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2035,2nd_renewal, $20.00 
LMPLUS,2016-02-19,2016-02-19,8919601,000142688288,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2035,2nd_renewal, $20.00 
LMPLUS,2016-02-23,2016-02-23,8919601,000142687991,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2045,2nd_renewal, $25.00 
LMPLUS,2016-02-03,2016-02-03,8919601,000141318606,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2035,2nd_renewal, $20.00 
LMPLUS,2016-02-22,2016-02-22,8919601,000140949583,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-25,2016-02-25,8919601,000140908480,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-12,2016-02-12,8919601,000140908456,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-11,2016-02-11,8919601,000140908449,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-14,2016-02-14,8919601,000140908340,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-10,2016-02-10,8919601,000140903887,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-05,2016-02-05,8919601,000140903523,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-05,2016-02-05,8919601,000140903515,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-02,2016-02-02,8919601,000140884905,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-08,2016-02-08,8919601,000140884830,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-01-30,2016-01-30,8919601,000140884665,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-05,2016-02-05,8919601,000140884418,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-08,2016-02-08,8919601,000140884103,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-20,2016-02-20,8919601,000140883675,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-20,2016-02-20,8919601,000140883667,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-16,2016-02-16,8919601,000140883600,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-21,2016-02-21,8919601,000140883451,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-21,2016-02-21,8919601,000140883014,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-09,2016-02-09,8919601,000140882966,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-23,2016-02-23,8919601,000140882917,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-13,2016-02-13,8919601,000140882859,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-08,2016-02-08,8919601,000140882263,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-08,2016-02-08,8919601,000140882131,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-08,2016-02-08,8919601,000140882065,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
LMPLUS,2016-02-24,2016-02-24,8919601,000140881075,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,7029,2nd_renewal, $-   
