brand,topupdate,activationdate,iccidPREFIX,iccid,resellerid,offmgrid,bundlecode,TopupSeq, Spiff 
LMPLUS,02/04/2016,02/04/2016,8919601,139655134,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/23/2016,02/23/2016,8919601,139031468,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/20/2016,02/20/2016,8919601,138023581,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,01/27/2016,01/27/2016,8919601,122358134,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/21/2016,02/21/2016,8919601,122357771,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/04/2016,02/04/2016,8919601,122331479,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/16/2016,02/16/2016,8919601,122330547,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2035,3rd_renewal,$20.00 
LMPLUS,02/25/2016,02/25/2016,8919601,139674895,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/14/2016,02/14/2016,8919601,139661884,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/25/2016,02/25/2016,8919601,139655803,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,01/27/2016,01/27/2016,8919601,138206319,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/06/2016,02/06/2016,8919601,137792053,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/07/2016,02/07/2016,8919601,122331768,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/05/2016,02/05/2016,8919601,122331487,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/02/2016,02/02/2016,8919601,121869982,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/17/2016,02/17/2016,8919601,121869891,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,01/26/2016,01/26/2016,8919601,121864355,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/02/2016,02/02/2016,8919601,121726778,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/13/2016,02/13/2016,8919601,121562231,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/07/2016,02/07/2016,8919601,139655977,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/14/2016,02/14/2016,8919601,108176617,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,1st_activation,$20.00 
LMPLUS,01/29/2016,01/29/2016,8919601,139655761,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/23/2016,02/23/2016,8919601,139655647,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,02/12/2016,02/12/2016,8919601,139655324,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2039,3rd_renewal,$25.00 
LMPLUS,01/30/2016,01/30/2016,8919601,121868802,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/22/2016,02/22/2016,8919601,139034181,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/09/2016,02/09/2016,8919601,139031971,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/12/2016,02/12/2016,8919601,105196303,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,1st_activation,$7.00 
LMPLUS,02/15/2016,02/15/2016,8919601,114441831,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/15/2016,02/15/2016,8919601,114441807,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/21/2016,02/21/2016,8919601,138024084,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/08/2016,02/08/2016,8919601,137794455,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2023,3rd_renewal,$5.00 
LMPLUS,01/31/2016,01/31/2016,8919601,137792657,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/25/2016,02/25/2016,8919601,122357722,LMPUS-SIM-WS-DP-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/02/2016,02/02/2016,8919601,121869834,LMPUS-SIM-WS-LI-P-CA-AHPR,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
LMPLUS,02/24/2016,02/24/2016,8919601,121107623,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2019,3rd_renewal,$3.00 
LMPLUS,02/20/2016,02/20/2016,8919601,121104521,LMPUS-SIM-WS-P-CA-AHPREPA,AHPREPAIDSOLUTIONS,2029,3rd_renewal,$15.00 
